Optimal Degree	Optimal Hyperparameter
19	1e-08
Degree	MSE	R2 Score	Hyperparameter
1	0.005065310751491782	0.9269586228581383	2.6826957952797274e-06
2	0.0033046090436330217	0.9609527888283348	2.6826957952797275e-07
3	0.0007897983010570131	0.9905934393428576	1.389495494373136e-06
4	0.00022841124940893812	0.9974182952734731	1.3894954943731388e-08
5	0.00011097504398009035	0.998769964663881	2.682695795279727e-08
6	2.4868312125858047e-05	0.9997048640359544	1.3894954943731388e-08
7	2.3755722317485046e-05	0.9997331557920821	1.9306977288832496e-08
8	1.8541700511426183e-05	0.9997410714155929	3.7275937203149377e-08
9	1.0469775339141336e-05	0.9998692168177146	1.9306977288832496e-08
10	9.997321183625534e-06	0.9998669192013182	1.3894954943731388e-08
11	8.236148143424757e-06	0.9998617810328588	1e-08
12	2.8481466371555995e-06	0.9999609851379048	1.3894954943731388e-08
13	5.022102377010841e-06	0.999945827051258	2.682695795279727e-08
14	2.8683591078728043e-06	0.9999650356825254	1.3894954943731388e-08
15	3.0763499012998862e-06	0.9999526160232526	1.9306977288832496e-08
16	3.2257956754818006e-06	0.9999627379829384	1.3894954943731388e-08
17	2.6320594425892463e-06	0.99996289860378	1.9306977288832496e-08
18	3.0861986537757757e-06	0.9999552271044323	5.1794746792312124e-08
19	2.026357955586672e-06	0.9999746107640183	1e-08
20	4.915074982449889e-06	0.9999451104908649	3.7275937203149377e-08
