Error	Bias	Variance
36312.00928126884	36312.00928126884	0.0
2587274.202037156	2587274.202037156	0.0
14463578.51199214	14463578.51199214	0.0
389503.05951310886	389503.05951310886	0.0
196427.07727970052	196427.07727970052	0.0
51312299.06641519	51312299.06641519	0.0
18917052.752664387	18917052.752664387	0.0
31424480.442412727	31424480.442412727	0.0
2773976817.175631	2773976817.175631	0.0
3008346893.864242	3008346893.864242	0.0
7065053935.289425	7065053935.289425	0.0
6514195343.503608	6514195343.503608	0.0
46648238937.57383	46648238937.57383	0.0
337951711.5724852	337951711.5724852	0.0
737294042.1294239	737294042.1294239	0.0
1204739419.4177694	1204739419.4177694	0.0
23062175032.771362	23062175032.771362	0.0
6711153873110.89	6711153873110.89	0.0
13087356408.244717	13087356408.244717	0.0
1295138207.3544283	1295138207.3544283	0.0
